Данные, полученные на широкой области вычислений
0,388885438
0,793974436
1,095949871
0,862839566
0,976843184
0,901167217
0,947124212
0,931704696
0,955614827
0,936283963
0,953150584
0,95832483
1,034371514
0,936860374
0,909225109
0,921044459
0,924203048
0,934907725
0,901701401
0,987404433
0,916383508
0,956621491
0,937178871
0,966346789
0,941681268
0,954466839
0,936590502
0,975073047
0,943254042
0,918275718
0,950322693
0,968474312
0,952286236
0,95464347
0,947766119
0,962822896
0,923334348
0,957055427
0,94727199
0,916658533
0,9678604
0,966078267
0,957008359
0,956460135
0,940979584
0,949413896
0,957062215
0,963150587
0,931065966
0,92874063
0,960206177
0,944110546
0,939061484
0,932740262
0,952123573
0,986303648
0,918586155
0,946378549
0,920763117
0,947579805
0,958970819
0,94139506
0,9265727
0,953446181
0,977665261
0,96237217
0,936673461
0,946750859
0,957673158
0,953106508
0,944238219
0,955554879
0,931008975
0,944322222
0,92949909
0,946098284
0,944909959
0,969946776
0,952819053
0,9520819
0,919360088
0,936533836
0,955182117
0,938326343
0,934341142
0,940947571
0,954619011
0,936759017
0,933413234
0,93188635
0,923926268
0,949400689
0,96356701
0,962616637
0,935265351
0,934223737
0,950586391
0,927203707
0,944096624
0,955356666
0,957465445
0,938205333
0,941772465
0,94922715
0,968668095
0,956872583
0,955735399
0,95570773
0,916863912
0,966871763
0,944864574
0,934444147
0,940672976
0,943012834
0,94854675
0,981159311
0,935902003
0,959604682
0,962343407
0,927028501
0,951184017
0,940127338
0,929728975
0,950117832
0,952330966
0,941307764
0,948794187
0,955092853
0,927167193
0,944823058
0,949065653
0,932643317
0,948533355
0,932653553
0,945264009
0,951935176
0,949799861
0,962009604
0,958847417
0,93729213
0,957096437
0,946600036
0,972623812
0,93690975
0,950773656
0,955206553
0,937102188
0,932189041
0,941643317
0,949928271
0,932082275
0,951766246
0,960587914
0,956983095
0,937536716
0,936256727
0,944453848
0,95168084
0,950704445
0,946564744
0,945632475
0,952190338
0,965620285
0,941355345
0,957174481
0,937491681
0,940274449
0,958839844
0,953601659
0,948425391
0,951421248
0,962559605
0,945565232
0,930675601
0,948996554
0,933813378
0,952460334
0,928211603
0,955737248
0,939661801
0,946100866
0,946244976
0,953857861
0,962236731
0,959440757
0,939036544
0,947464442
0,941883855
0,930473501
0,935524351
0,941851089
0,950247263
0,94752888
0,941919984
0,916644229
0,944919894
0,948329449
0,947168742
0,946019748
0,93463305












Данные, полученные на узкой области вычислений
0.9677400000
0.9865571667
0.9560098182
0.9284255625
0.9393222381
0.9578144615
0.9505704194
0.9430984722
0.9693135610
0.9568704565
0.9408583333
0.9423944286
0.9502889508
0.9518553788
0.9491121408
0.9327230921
0.9619654198
0.9544241977
0.9402675275
0.9526190625
0.9388355545
0.9436986604
0.9405677207
0.9514719569
0.9418802810
0.9477707619
0.9375750763
0.9442580735
0.9521829504
0.9437674452
0.9384728079
0.9475787500
0.9313746149
0.9513195120
0.9381230058
0.9420802273
0.9488485746
0.9419856290
0.9441798377
0.9457683520
0.9399756517
0.9602235728
0.9519167630
0.9436958426
0.9501513620
0.9485422080
0.9391127706
0.9453234237
0.9524810290
0.9501030041
0.9478839801
0.9425384375
0.9343696552
0.9408179098
0.9512539004
0.9348976159
0.9493150569
0.9483964790
0.9417451512
0.9425656824
0.9419121661
0.9486065784
0.9415498232
0.9449756519
0.9447272835
0.9445854847
0.9446916103
0.9475787500
0.9458878065
0.9438728092
0.9449480228
0.9408281292
0.9423625152
0.9469397596
0.9504371914
0.9500238378
0.9388263333
0.9395769275
0.9438558798
0.9433835808
0.9489161297
0.9388984877
0.9403481703
0.9435077284
0.9400027173
0.9430164390
0.9394487610
0.9431395757
0.9415166599
0.9459333027
0.9439220089
0.9428390877
0.9405900998
0.9427850451
0.9478783864
0.9421572374
0.9512756778
0.9410906440
0.9420190081
0.9454000343
0.9420173034
0.9437058775
0.9388277417
0.9494542151
0.9415497236
0.9438224715
0.9467206629
0.9485717668
0.9466321774
0.9455847802
0.9451711089
0.9457511835
0.9478159412
0.9388730795
0.9400862504
0.9418943976
0.9489459673
0.9419225904
0.9410766616
0.9417604027
0.9420033760
0.9413374125
0.9463314583
0.9411114399
0.9478969147
0.9438814473
0.9398018114
0.9374347248
0.9393066615
0.9483402585
0.9433111306
0.9409894634
0.9484388820
0.9448058213
0.9450969031
0.9464573550
0.9495504670
0.9461798061
0.9433947800
0.9445661494
0.9421314736
0.9419244618
0.9479814079
0.9477589623
0.9475843426
0.9461458017
0.9369823721
0.9463953723
0.9474100594
0.9406925751
0.9489908429
0.9427357831
0.9477112155
0.9495053864
0.9435360402
0.9442739678
0.9399427734
0.9478968155
0.9422109128
0.9472748116
0.9445835081
0.9450273263
0.9448889260
0.9426175012
0.9445189549
0.9482524189
0.9443131613
0.9445497392
0.9401615196
0.9442328404
0.9472897168
0.9467873738
0.9453167561
0.9460235866
0.9464815706
0.9464740240
0.9429515028
0.9449664345
0.9466872200
0.9443925525
0.9449159434
0.9412855916
0.9427586400
0.9439514858
0.9426095820
0.9430065443
0.9426196455
0.9441151506
0.9497084293
0.9432566554
0.9472692292
0.9450480492
0.9433870562
0.9501917816
0.9431229269
0.9391837377
0.9450015627
0.9450677951
0.9450357064
0.9418299598
